Date,Shift,Pipe N°,Defect,Position,Extension,Remarks
11/02/2026,1,26.4.2095,Burn Through,,,MPQT Pipe (NCR-001)
23/02/2026,1,26.4.2094,Pore,,,2350x50mm
23/02/2026,1,26.4.2250,WT Below Spec,,,8100x640mm
10/03/2026,1,26.4.2114,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2185,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2107,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2145,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2148,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2144,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2149,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2180,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2115,Heated over 3 times,,,3LPP Tenaris Internal Trials
10/03/2026,1,26.4.2086,Heated over 3 times,,,3LPP Tenaris Internal Trials
22/04/2026,1,26.4.2156,Sample Removal,,,NA
19/05/2026,1,26.4.2117,CVN Rejection,,,(NCR-004)
02/06/2026,2,26.4.7733,Tack Weld Parameter,,,(NCR-009)
09/06/2026,1,26.4.7701,Slag Inclusion,,,NA
09/06/2026,3,26.4.7859,Slag Inclusion,,,NA
10/06/2026,1,26.4.7736,Wall TKS Below the Spec.,,,NA
11/06/2026,2,26.4.8113,Tack Weld Parameter,,,(NCR-009)
12/06/2026,1,26.4.7952,MCE Mark,,,
13/06/2026,3,26.4.7773,Wall TKS Below the Spec.,,,
18/06/2026,1,26.4.8540,Wall TKS Below the Spec.,,,
18/06/2026,3,26.4.8688,Wall TKS Below the Spec.,,,
20/06/2026,1,26.4.8181,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8194,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8200,"""U"" Press Mark",,,NCR-11
20/06/2026,1,26.4.8201,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8205,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8206,"""U"" Press Mark",,,NCR-11
20/06/2026,1,26.4.8208,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8250,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8251,"""U"" Press Mark",,,NCR-11
20/06/2026,1,26.4.8260,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8264,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8267,"""U"" Press Mark",,,NCR-11
20/06/2026,1,26.4.8269,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8270,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8273,"""U"" Press Mark",,,NCR-11
20/06/2026,1,26.4.8275,"""U"" Press Mark",,,NCR-11
20/06/2026,2,26.4.8276,"""U"" Press Mark",,,NCR-11
20/06/2026,3,26.4.8285,Bolt Mark,,,NCR-11
20/06/2026,1,26.4.8283,Stamp Damage,,,NCR-11
20/06/2026,1,26.4.8360,Stamp Damage,,,NCR-11
20/06/2026,1,26.4.8507,Stamp Damage,,,NCR-11
