Date,Shift,Pipe N°,Defect,Position,Extension,Remarks
11/02/2026,1,26.4.2089,Weld heigh bead below the specified,1200,300,
19/02/2026,1,26.4.2205,Slag Inclusion,1450,100,
20/02/2026,1,26.4.2207,Underfill,5510,130,
21/02/2026,1,26.4.2252,Stop/Start,2320,200,
08/06/2026,1,26.4.7866,Weld Fail,4600,200,
08/06/2026,3,26.4.7838,Weld Leak,2500,200,
09/06/2026,1,26.4.7840,Slag Inclusion,3360,150,
10/06/2026,1,26.4.7888,Stop/Start,8190,200,
10/06/2026,1,26.4.7841,Stop/Start,2024,200,
10/06/2026,1,26.4.7986,Stop/Start,9770,200,
10/06/2026,1,26.4.7955,Underfill,3190,150,
10/06/2026,1,26.4.8007,Underfill,9100,150,
10/06/2026,1,26.4.8071,Stop/Start,2830,200,
10/06/2026,3,26.4.8118,Stop/Start,7340,180,
10/06/2026,3,26.4.8117,Stop/Start,3930,170,
11/06/2026,3,26.4.8219,Stop/Start,11900,200,
12/06/2026,1,24.6.8204,Stop/Start,6720,250,
12/06/2026,3,24.6.8231,Stop/Start,5900,100,
15/06/2026,3,26.4.8344,Stop/Start,6400,200,
15/06/2026,3,26.4.8222,Stop/Start,5100,200,
15/06/2026,3,26.4.8313,Stop/Start,3560,200,
15/06/2026,3,26.4.8360,Stop/Start,11630,150,
16/06/2026,1,26.4.8326,Stop/Start,4600,300,
17/06/2026,1,26.4.8456,Stop/Start,10570,300,
17/06/2026,1,26.4.8401,Stop/Start,6300,300,
17/06/2026,1,26.4.8406,Underfill,7775,150,
17/06/2026,1,26.4.8519,Pore,9380,150,
17/06/2026,3,26.4.8615,Stop/Start,3250,250,
18/06/2026,1,26.4.8641,Slag Inclusion,2200,150,
18/06/2026,3,26.4.8644,Stop/Start,4600,150,
18/06/2026,3,26.4.8642,Stop/Start,2500,100,
19/06/2026,3,26.4.8823,Stop/Start,1300,200,
19/06/2026,3,26.4.8768,Stop/Start,3600,200,
19/06/2026,3,26.4.8754,Slag Inclusion,6750,80,
22/06/2026,3,26.4.8868,Slag Inclusion,5030,80,
23/06/2026,1,26.4.8645,Stop/Start,7000,300,
23/06/2026,1,26.4.9046,Stop/Start,3900,200,
23/06/2026,1,26.4.8766,Stop/Start,4200,200,
23/06/2026,1,26.4.8819,Stop/Start,4000,200,
23/06/2026,1,26.4.8696,Stop/Start,550,200,
23/06/2026,1,26.4.8800,Stop/Start,10530,250,
23/06/2026,1,26.4.8855,Stop/Start,5930,200,
23/06/2026,3,26.4.9003,Stop/Start,9000,200,
23/06/2026,3,26.4.9128,Stop/Start,6300,100,
24/06/2026,1,26.4.8722,Slag Inclusion,2200,200,
24/06/2026,1,26.4.9091,Slag Inclusion,4070,150,
24/06/2026,1,26.4.9167,Underfill,7500,200,
25/06/2026,1,26.4.9299,Slag Inclusion,2430,150,
25/06/2026,1,26.4.9101,Stop/Start,10650,150,
25/06/2026,1,26.4.9138,Stop/Start,0,0,
25/06/2026,1,26.4.8970,Pore,9350,150,
25/06/2026,1,26.4.9325,Pore,4240,150,
26/06/2026,1,26.4.9404,Pore,7600,150,
26/06/2026,1,26.4.9389,Pore,4500,200,
26/06/2026,1,26.4.9338,Stop/Start,11660,180,
26/06/2026,1,26.4.9093,underfill,8500,150,
26/06/2026,3,26.4.9491,Stop/Start,5000,200,
26/06/2026,3,26.4.9474,Stop/Start,7320,200,
26/06/2026,3,26.4.9481,Stop/Start,8600,200,
